timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1506631863503,5198,register,200,,thread 1-1,text,true,,234,261,1,1,5198,0,80
1506631868720,225,login,200,,thread 1-1,text,true,,228,217,1,1,225,0,87
1506631938302,1338,register,200,,thread 1-1,text,true,,234,261,1,1,1333,0,9
1506631939644,164,login,200,,thread 1-1,text,true,,226,213,1,1,164,0,0
1506632013561,1165,register,200,,thread 1-1,text,true,,234,261,1,1,1160,0,1
1506632014729,61,login,200,,thread 1-1,text,true,,228,221,1,1,61,0,0
1506634438274,1833,register,200,,thread 1-1,text,true,,234,261,1,1,1823,0,1
1506634440108,165,login,200,,thread 1-1,text,true,,228,221,1,1,165,0,0
1506634535916,1273,register,400,,thread 1-1,text,false,,675,257,1,1,1258,0,14
1506634537190,385,login,500,,thread 1-1,text,false,,322,145,1,1,381,0,2
1506634582252,980,register,200,,thread 1-1,text,true,,234,261,1,1,979,0,3
1506634583233,121,login,200,,thread 1-1,text,true,,228,221,1,1,121,0,0
1506731570207,2454,register,200,,thread 1-1,text,true,,234,261,1,1,2453,0,132
1506731572714,213,login,200,,thread 1-1,text,true,,228,217,1,1,213,0,58
